No.	UNDERLYING	SYMBOL
149	PNB Housing Finance Limited	PNBHOUSING
150	Page Industries Limited	PAGEIND
151	Patanjali Foods Limited	PATANJALI
152	Persistent Systems Limited	PERSISTENT
153	Petronet LNG Limited	PETRONET
154	Pidilite Industries Limited	PIDILITIND
155	Polycab India Limited	POLYCAB
156	Power Finance Corporation Limited	PFC
157	Power Grid Corporation of India Limited	POWERGRID
158	Premier Energies Limited	PREMIERENE
159	Prestige Estates Projects Limited	PRESTIGE
160	Punjab National Bank	PNB
161	RBL Bank Limited	RBLBANK
162	REC Limited	RECLTD
163	Radico Khaitan Limited	RADICO
164	Rail Vikas Nigam Limited	RVNL
165	Reliance Industries Limited	RELIANCE
166	SAGILITY LIMITED	SAGILITY
167	SBI Cards and Payment Services Limited	SBICARD
168	SBI Life Insurance Company Limited	SBILIFE
169	SHREE CEMENT LIMITED	SHREECEM
170	SRF Limited	SRF
171	Samvardhana Motherson International Limited	MOTHERSON
172	Shriram Finance Limited	SHRIRAMFIN
173	Siemens Limited	SIEMENS
174	Solar Industries India Limited	SOLARINDS
175	Sona BLW Precision Forgings Limited	SONACOMS
176	State Bank of India	SBIN
177	Steel Authority of India Limited	SAIL
178	Sun Pharmaceutical Industries Limited	SUNPHARMA
179	Supreme Industries Limited	SUPREMEIND
180	Suzlon Energy Limited	SUZLON
181	Swiggy Limited	SWIGGY
182	TATA CONSUMER PRODUCTS LIMITED	TATACONSUM
183	TVS Motor Company Limited	TVSMOTOR
184	Tata Consultancy Services Limited	TCS
185	Tata Elxsi Limited	TATAELXSI
186	Tata Motors Passenger Vehicles Limited	TMPV
187	Tata Power Company Limited	TATAPOWER
188	Tata Steel Limited	TATASTEEL
189	Tech Mahindra Limited	TECHM
190	The Federal Bank Limited	FEDERALBNK
191	The Indian Hotels Company Limited	INDHOTEL
192	The Phoenix Mills Limited	PHOENIXLTD
193	Titan Company Limited	TITAN
194	Torrent Pharmaceuticals Limited	TORNTPHARM
195	Trent Limited	TRENT
196	Tube Investments of India Limited	TIINDIA
197	UNO Minda Limited	UNOMINDA
198	UPL Limited	UPL
199	UltraTech Cement Limited	ULTRACEMCO
200	Union Bank of India	UNIONBANK
201	United Spirits Limited	UNITDSPR
202	Varun Beverages Limited	VBL
203	Vedanta Limited	VEDL
204	Vishal Mega Mart Limited	VMM
205	Vodafone Idea Limited	IDEA
206	Voltas Limited	VOLTAS
207	Waaree Energies Limited	WAAREEENER
208	Wipro Limited	WIPRO
209	Yes Bank Limited	YESBANK
210	Zydus Lifesciences Limited	ZYDUSLIFE
